ts	phase	decision	why	evidence	result
2026-09-07T00:00:00Z	frame	Defined completion as exhaustive semantic checks plus rendered desktop and mobile verification	The audit must fail closed when either the data model or the visible simulator remains unverified	README.md; demo/index.html; tests/interactive-demo.test.js	baseline inspection in progress
2026-09-11T09:00:00Z	inventory	Derived counts from the refactored in-page domain data instead of prior audit prose	The current simulator—not historical reports—defines the reachable surface	demo/index.html auditInventory; tests/interactive-demo.test.js	4 models; 11 scenarios; 44 pairs; 75 base steps; 300 resolved steps; 7 failures; 173 applicable failure pairs; 1471 direct-step states
2026-09-11T09:05:00Z	evidence	Applied the repository evidence hierarchy and treated demonstrations as non-production evidence	Official rules and institutional reports control over repository synthesis	docs/01; docs/05–08; docs/10; BIS Agorá 2026 pp. 15, 21–25, 70–71, 90–91; SBA PoC 2025 pp. 3, 5, 32–35; SNB SIC disclosure 2026	model authority and maturity boundaries fixed in resolved copy
2026-09-11T09:10:00Z	architecture	Kept the inventory, scenario variants and failure rules in the active demo data rather than creating a parallel audit module	One executable source of truth minimizes drift and lets the gate enumerate what users actually see	pstack foundational-thinking; model-the-domain; build-the-lever	resolved scenario and failure helpers exported for tests
2026-09-11T09:15:00Z	failure-model	Replaced generic failure triggers and target fallback with explicit scenario rules plus model authority consequences	A failure must stop the exact action on the exact visible entity and preserve the correct last-valid claim	docs/07 sections on incident ownership and recovery; docs/05 authoritative-state rule	173 applicable combinations resolve exact trigger, target, state, evidence, owner and outcomes
2026-09-11T09:20:00Z	missing-scenario	Added expired or failed conditions as a distinct failure branch, not a new normal-flow scenario	The documented expiry/refund path is materially distinct and fits the conditional flow without speculative scenario inflation	docs/02 worked conditional-payment journey; docs/07 recovery controls	condition failure available for all four conditional variants at verification step
2026-09-11T09:25:00Z	semantic-corrections	Moved model boundaries into resolved introductions and step fields instead of relying on disclaimers above generic events	Actors, actions, objects and results must remain truthful at every visible step	SBA PoC 2025; BIS Agorá 2026; SNB/SIC; FINMA stablecoin guidance	instruction mint/redeem/bridge, stablecoin interbank/netting/wCBDC and all Agorá variants corrected
2026-09-11T09:30:00Z	visuals	Assigned entity-specific roles and authority-specific mismatch layouts	People, institutions, wallets, ledgers, controls and settlement assets must not collapse into the selected model icon	demo rendered scene requirements; WCAG-oriented accessible naming checks	Alice and Luca remain human; issuer, wallet, ledger, operations and reconciliation visuals separated
2026-09-11T09:35:00Z	verification	Ran the derived semantic inventory gate and intentionally retained archived snapshot coverage	Both the refactored simulator and supported historical engine must remain testable	node --test tests/interactive-demo.test.js tests/demo-snapshot.test.js	2 tests passed; rendered verification still pending
2026-09-11T10:00:00Z	browser-finding	Corrected native and stablecoin mismatch connector direction	Rendered arrows still pointed toward the authoritative ledger even though the repair token and text moved toward supporting records	Browser screenshot of native mismatch step 6	encoded two explicit leftward hops through reconciliation; re-render passed
2026-09-11T10:10:00Z	browser-verification	Rendered every normal model/scenario/step state and the required high-risk matrix	Visible text, node labels, normal marker absence and overflow must be proven in the actual page	300 browser-rendered normal states; desktop and 390x844 measurements	all 300 normal states passed; no document or journey overflow
2026-09-11T10:20:00Z	browser-verification	Triggered one representative case for each of seven failure modes	Each distinct failure must visibly stop at its exact step and target with both consequence sentences	AML mint; DLT bridge; SIC interbank; receiver Agorá; mismatch; key mint; failed condition	seven failure types passed; live-region announcements and markers matched
2026-09-11T10:25:00Z	browser-finding	Separated the stablecoin issuer from settlement bank B in the wCBDC comparison	The customer-credit failure text named the issuer but the visual target was the institutional wCBDC recipient	Rendered stablecoin x wCBDC step 6 and receiver failure	added a distinct issuer node; customer claim moves issuer-to-Luca; receiver marker targets issuer
2026-09-11T10:30:00Z	browser-verification	Verified six-entity wCBDC layout at desktop and narrow widths	Separating the issuer must not create clipping or unreadable labels	Desktop screenshot; 390x844 node and overflow measurements	compact desktop labels; six 104px mobile nodes; zero horizontal overflow
2026-09-11T10:35:00Z	documentation	Superseded the structural 3 September audit and made this report the active appendix	Historical evidence must remain but may not claim current completeness	docs/appendices/audits/demo-scenario-content-and-visual-audit-2026-09-03.md; docs/appendices/README.md	new report linked; historical report retained with notice
